Analyte,Formula,Analysis,FC,A+0,A+1,A+2,A+3,A+4,A+5,A+6
L-Glutamine,C5H10N2O3,media-hilic-04,0.01811567,2.05E+07,1704471.928,159792.4192,1231.13742,108.6542916,153.8261691,
Glucose CL,C6H13O6Cl,media-hilic-QC07,0.657887384,1.04E+07,0,0,0,11227.00906,133433.0887,1.99E+07
Lactic acid C3,^13C3H6O3,media-hilic-34,0.265944311,1.48E+07,0,0,5363118.25,,,
Alanine,C3H7NO2,media-hilic-01,0.008841263,599822.0395,0,213.1952613,5208.99307,,,
Lactic acid,C3H6O3,media-hilic-33,0.120551973,1.48E+07,62565.67184,31743.3378,1999511.603,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC10,0.867670322,1396.293889,0,0,1337.378689,23634.03071,23946.41816,
L-Glutamic acid,C5H9NO4,media-hilic-QC07,0.706939567,4855181.903,0,16774.17568,0,0,1.17E+07,
L-Glutamine,C5H10N2O3,media-hilic-QC03,0.022833373,2.02E+07,2222156.961,177403.7063,0,35.94551328,152.3037155,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-13,0.016548755,1539680.623,0,0,1554.367703,0,284.6935477,24907.99883
Lactic acid C3,^13C3H6O3,media-hilic-22,0.021419491,1.47E+07,17581.20424,0,317247.213,,,
Alanine,C3H7NO2,media-hilic-QC10,0.021600149,457673.8443,0,0,10104.07294,,,
Glucose CL,C6H13O6Cl,media-hilic-09,0.847106539,3680310.663,0,0,0,14391.99897,154792.5652,2.04E+07
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-25,0.865144856,1324.329252,0,0,2271.264897,17543.26613,21436.36718,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-30,0.880136672,945.672853,251.3251304,0,1478.959908,15593.61034,22251.90803,
Lactic acid,C3H6O3,media-hilic-QC08,0.109004315,1.49E+07,64830.36491,32480.59775,1786791.092,,,
L-Glutamic acid,C5H9NO4,media-hilic-26,0.746388126,1725119.477,0,6260.96138,0,0,5085634.976,
Glucose CL,C6H13O6Cl,media-hilic-13,0.821545336,4581765.034,0,0,0,5787.484862,526067.1712,2.11E+07
Alanine,C3H7NO2,media-hilic-34,0.017508554,488991.5523,0,13.86246985,8704.947285,,,
Alanine 15N,C3H7^15NO2,media-hilic-33,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-14,0,0,0,0,0,,,
Lactic acid C3,^13C3H6O3,media-hilic-23,0.022671863,1.48E+07,32168.43621,0,332161.8278,,,
Lactic acid C3,^13C3H6O3,media-hilic-QC07,0.107026772,1.50E+07,0,0,1793938.903,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-27,0.916743145,171.8570614,368.4095059,0,1018.576105,0,8938.972865,
L-Glutamic acid,C5H9NO4,media-hilic-14,0.718079125,4185314.686,0,16416.99272,0,0,1.07E+07,
Alanine,C3H7NO2,media-hilic-Blank01,0.399411226,6949.601858,790.5552997,358.8597383,4549.002795,,,
Alanine,C3H7NO2,media-hilic-32,0.01381179,557070.9499,0,0,7801.905451,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-04,0.99514177,2299.999614,4774.195306,0,1121484.149,,,
L-Glutamic acid,C5H9NO4,media-hilic-QC10,0.715187298,4246096.907,0,14032.42636,0,0,1.07E+07,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-02,0.003525626,1455251.233,0,0,51.25382589,0,4075.764405,1729.220644
L-Glutamic acid,C5H9NO4,media-hilic-13,0.722894068,4440321.774,0,19156.48367,0,0,1.16E+07,
L-Glutamine,C5H10N2O3,media-hilic-18,0.011821093,1.83E+07,923431.8515,105086.4671,2388.702423,535.5597863,295.2654368,
L-Glutamic acid,C5H9NO4,media-hilic-36,0.71313723,3056083.135,0,10220.7475,0,0,7608541.025,
L-Glutamic acid,C5H9NO4,media-hilic-32,0.688277092,4787973.218,0,13663.98704,0,0,1.06E+07,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-Blank01,0.002213848,4325059.396,0,0,0,0,8805.681243,2261.459344
L-Glutamic acid,C5H9NO4,media-hilic-QC03,0.709258095,5136716.271,0,17095.68657,0,0,1.25E+07,
Alanine 15N,C3H7^15NO2,media-hilic-QC01,0,0,0,0,0,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-Blank02,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-36,0.268197826,1.33E+07,0,0,4877001.72,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC10,0,0,0,0,0,0,0,
Alanine 15N,C3H7^15NO2,media-hilic-02,0,0,0,0,0,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-19,0.990356825,1973.129457,3003.694819,0,407293.2699,,,
L-Glutamic acid,C5H9NO4,media-hilic-12,0.748649727,3783863.752,0,12689.44179,0,0,1.13E+07,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-Blank03,0.99499292,975.3729734,1975.8261,0,454918.553,,,
L-Glutamic acid,C5H9NO4,media-hilic-20,0.74762703,3244256.063,0,10088.75521,0,0,9624646.627,
L-Glutamic acid,C5H9NO4,media-hilic-QC02,0.731688574,4992134.655,0,18294.90505,0,0,1.36E+07,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC05,0,0,0,0,0,0,0,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC05,0.995313801,2313.390883,5096.655586,0,1211309.331,,,
L-Glutamic acid,C5H9NO4,media-hilic-02,0.743154629,4072488.158,0,11790.0112,0,0,1.18E+07,
Alanine 15N,C3H7^15NO2,media-hilic-10,0,0,0,0,0,,,
Lactic acid,C3H6O3,media-hilic-34,0.265904253,1.48E+07,1567.366102,0,5367962.457,,,
Glucose CL,C6H13O6Cl,media-hilic-QC02,0.664889666,1.05E+07,0,0,0,10570.1446,173910.3332,2.07E+07
L-Glutamine,C5H10N2O3,media-hilic-QC02,0.020502955,2.06E+07,1984102.027,171232.6372,1127.36029,106.8759033,122.72632,
Alanine 15N,C3H7^15NO2,media-hilic-30,0,0,0,0,0,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC04,0.859504283,1453.380843,0,0,1579.810179,37005.12485,27482.10447,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-28,0,0,0,0,0,0,0,
Glucose CL,C6H13O6Cl,media-hilic-Blank01,0.073082789,156648.5836,0,0,98.92032345,9904.546105,1002.76517,5140.214039
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-21,0,0,0,0,0,0,0,
Lactic acid C3,^13C3H6O3,media-hilic-Blank03,0.209492468,171205.3842,0,0,45371.15336,,,
Lactic acid,C3H6O3,media-hilic-25,0.034100697,1.47E+07,0,40734.21593,490631.6496,,,
Lactic acid,C3H6O3,media-hilic-30,0.061176888,1.45E+07,11945.29436,47272.56265,909434.9927,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-27,0.014208776,744704.3173,0,0,511.2361621,0,1639.902188,9119.272072
L-Glutamic acid,C5H9NO4,media-hilic-28,0.72737034,2037818.23,0,7549.769923,0,0,5445922.901,
Lactic acid,C3H6O3,media-hilic-23,0.022707422,1.48E+07,32505.63923,0,332604.7219,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-10,0.995159619,2454.177875,4369.464675,0,1102005.231,,,
Glucose CL,C6H13O6Cl,media-hilic-22,0.855627447,3510727.983,0,0,0,16819.59293,107205.5345,2.08E+07
Alanine 15N,C3H7^15NO2,media-hilic-Blank01,0,0,0,0,0,,,
Lactic acid,C3H6O3,media-hilic-08,0.026619367,1.27E+07,0,10655.9334,341600.3167,,,
L-Glutamine,C5H10N2O3,media-hilic-26,0.00816761,1.89E+07,596036.7965,98119.37088,2422.015701,80.64716488,190.7798127,
Lactic acid C3,^13C3H6O3,media-hilic-04,0.022448554,1.47E+07,47044.68208,0,323597.0813,,,
Lactic acid C3,^13C3H6O3,media-hilic-30,0.059133241,1.45E+07,0,0,908872.0295,,,
Glucose CL,C6H13O6Cl,media-hilic-01,0.004124281,2.37E+07,463278.7062,0,0,20712.45998,1753.978368,7220.953261
Lactic acid C3,^13C3H6O3,media-hilic-01,0.015006692,1.49E+07,35582.72111,0,216231.9479,,,
Alanine 15N,C3H7^15NO2,media-hilic-07,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-Blank03,0,0,0,0,0,,,
Glucose CL,C6H13O6Cl,media-hilic-03,0.003355227,2.37E+07,365740.6089,0,0,21824.44104,1595.605238,3952.882938
Lactic acid,C3H6O3,media-hilic-02,0.019250542,1.45E+07,84220.55916,0,256687.2292,,,
Lactic acid C3,^13C3H6O3,media-hilic-33,0.118755491,1.48E+07,0,0,1997783.901,,,
Alanine,C3H7NO2,media-hilic-28,0.017757464,276682.9658,0,235.1266488,4846.676603,,,
L-Glutamine,C5H10N2O3,media-hilic-QC09,0.020614655,2.01E+07,1948214.413,169917.2457,1311.87263,106.7316777,183.6303966,
L-Glutamine,C5H10N2O3,media-hilic-19,0.01298797,1.74E+07,992837.6424,100621.7788,1939.418227,146.5132176,222.0614029,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-16,0.878666902,1057.306984,0,0,909.7959783,22445.3141,24298.84378,
Alanine 15N,C3H7^15NO2,media-hilic-17,0.995240784,1643.0022,0,0,343582.4142,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-26,0.014911361,855801.3313,0,0,732.6222893,69.88172726,1203.190402,11547.70448
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-26,0,0,0,0,0,0,0,
L-Glutamine,C5H10N2O3,media-hilic-06,0.018918412,2.04E+07,1793905.478,158399.2097,1728.54223,272.4582552,203.3912742,
Lactic acid C3,^13C3H6O3,media-hilic-15,0.09944912,1.53E+07,0,0,1694027.008,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-31,0.889599913,1091.853897,0,0,750.0278497,12306.58173,20753.51441,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC06,0,0,0,0,0,0,0,
L-Glutamine,C5H10N2O3,media-hilic-09,0.020845682,1.90E+07,1881803.23,154905.7828,1210.320177,83.93793361,216.4846157,
Lactic acid C3,^13C3H6O3,media-hilic-29,0.058406984,1.50E+07,0,0,930920.423,,,
Alanine 15N,C3H7^15NO2,media-hilic-08,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-29,0,0,0,0,0,,,
Alanine,C3H7NO2,media-hilic-16,0.068830018,536943.634,0,390.2216435,39439.14828,,,
Alanine 15N,C3H7^15NO2,media-hilic-31,0,0,0,0,0,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-32,0.995287852,2545.045436,4569.504807,0,1179474.133,,,
Glucose CL,C6H13O6Cl,media-hilic-QC03,0.654142252,1.05E+07,0,0,0,12049.86109,135681.3214,1.98E+07
Alanine 13C15N,^13C3H7^15NO2,media-hilic-34,0.993730012,2510.74469,5315.254689,0,957765.6055,,,
L-Glutamic acid,C5H9NO4,media-hilic-05,0.727587148,4121162.893,0,13090.82977,0,0,1.10E+07,
Lactic acid,C3H6O3,media-hilic-03,0.014570288,1.52E+07,9861.610559,0,221295.1986,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC08,0.994490616,2648.185417,5407.517401,0,1126952.683,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-14,0.994355195,2470.330981,5427.711852,0,1070758.525,,,
L-Glutamic acid,C5H9NO4,media-hilic-15,0.735952674,3921748.802,0,14824.36495,0,0,1.09E+07,
Alanine,C3H7NO2,media-hilic-13,0.032614375,520549.1658,0,0,17549.76012,,,
Glucose CL,C6H13O6Cl,media-hilic-08,0.851254708,3438427.54,0,0,0,13009.26336,159661.2495,1.97E+07
Glucose d7 CL,C6H6D7O6Cl,media-hilic-32,0.016245506,1444741.327,0,0,953.2799605,112.4702202,0,23315.0122
L-Glutamine,C5H10N2O3,media-hilic-Blank01,0.207915075,9296.938054,250.6811324,7913.718108,227.0928919,263.9929813,213.9995504,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-25,0.994864412,2471.061419,4522.931774,0,1061306.185,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-14,0.867753073,1565.644037,0,0,959.0568451,21081.39642,23015.37223,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-15,0.016811665,1315394.821,0,0,1325.590651,77.05786223,0,21789.71222
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-35,0.916666947,704.2763357,0,0,1354.512133,1553.867361,15069.66291,
Alanine,C3H7NO2,media-hilic-15,0.032664597,431133.8279,0,15.64276937,14548.10321,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-Blank03,0.880703246,255.6247265,160.0746362,0,2559.281373,0,8822.465009,
Lactic acid C3,^13C3H6O3,media-hilic-27,0.027882523,7723520.014,0,0,221527.9852,,,
Alanine 15N,C3H7^15NO2,media-hilic-QC09,0,0,0,0,0,,,
Glucose CL,C6H13O6Cl,media-hilic-QC09,0.678374486,9700419.432,0,0,0,15288.76693,28666.20555,2.04E+07
L-Glutamine,C5H10N2O3,media-hilic-31,0.02283892,1.83E+07,2023648.587,154157.031,850.5722854,0,147.343547,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-13,0,0,0,0,0,0,0,
Glucose CL,C6H13O6Cl,media-hilic-25,0.841148843,3946766.26,0,0,0,19129.24005,345925.7311,2.09E+07
Glucose d7 CL,C6H6D7O6Cl,media-hilic-05,0.0160862,1322950.245,0,0,1624.205709,49.97567954,0,20797.30285
L-Glutamine,C5H10N2O3,media-hilic-05,0.020193865,2.01E+07,1905331.574,164086.8687,1588.001968,16.89818205,171.6207123,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-05,0.995281505,2410.137124,4580.048433,0,1150900.67,,,
Alanine,C3H7NO2,media-hilic-21,0.009409869,610833.4039,0,0,5802.463013,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC09,0.9947871,2570.711976,4381.072197,0,1046478.54,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-17,0.014378875,725186.1589,0,0,727.5807468,0,2385.222586,8239.113301
Lactic acid C3,^13C3H6O3,media-hilic-QC05,0.113555744,1.49E+07,0,0,1905922.793,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-21,0.860097823,1253.11747,370.6690103,0,2257.094488,24443.35268,24149.29568,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-08,0.994179911,1942.622235,3589.487896,0,739407.41,,,
Alanine 15N,C3H7^15NO2,media-hilic-35,0,0,0,0,0,,,
L-Glutamine,C5H10N2O3,media-hilic-13,0.019557668,2.02E+07,1841913.559,162002.4883,1404.020802,24.81509711,170.383039,
Lactic acid C3,^13C3H6O3,media-hilic-19,0.011577542,1.12E+07,0,0,131416.6303,,,
Glucose CL,C6H13O6Cl,media-hilic-34,0.852227919,3557336.569,0,0,0,13595.63144,150059.1093,2.06E+07
Glucose d7 CL,C6H6D7O6Cl,media-hilic-34,0.014511856,1288826.112,0,0,1115.714503,0,0,18429.03202
Lactic acid,C3H6O3,media-hilic-QC10,0.09626109,1.54E+07,0,35784.31512,1619883.605,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-08,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-12,0.052120491,1.48E+07,4595.968454,51617.50039,777075.2606,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-19,0.006497383,763467.8111,0,0,295.6956398,18.76857418,3999.433194,1505.129922
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC01,0.994965816,2566.030467,5575.046592,0,1239872.213,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-07,0.995032233,2156.177827,4373.580009,0,1014431.615,,,
Alanine,C3H7NO2,media-hilic-09,0.018833254,401350.7293,0,0,7703.828379,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-34,0.886300415,860.1436282,43.818828,0,1523.073181,13803.67507,21281.85341,
Lactic acid,C3H6O3,media-hilic-32,0.124505323,1.49E+07,142332.2094,34614.03362,2058887.866,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-19,0.880470063,448.2955223,382.4372853,0,2987.174097,0,12488.59373,
L-Glutamine,C5H10N2O3,media-hilic-02,0.020408567,2.01E+07,1933979.945,162081.543,695.3784195,66.97711002,197.3295054,
L-Glutamic acid,C5H9NO4,media-hilic-23,0.720426212,4073420.64,0,12014.21757,0,0,1.05E+07,
Alanine,C3H7NO2,media-hilic-10,0.023095209,435732.9798,0,0,10301.25366,,,
Alanine 15N,C3H7^15NO2,media-hilic-09,0,0,0,0,0,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-26,0.992638299,1734.787206,3100.13976,0,511560.2625,,,
Alanine,C3H7NO2,media-hilic-05,0.01707615,439176.738,0,0,7629.734192,,,
L-Glutamic acid,C5H9NO4,media-hilic-01,0.733365151,3916155.558,0,12535.36595,0,0,1.08E+07,
Lactic acid C3,^13C3H6O3,media-hilic-32,0.121660978,1.49E+07,0,0,2057151.819,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-30,0,0,0,0,0,0,0,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC02,0,0,0,0,0,0,0,
Alanine 15N,C3H7^15NO2,media-hilic-16,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-18,0,0,0,0,0,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-28,0.899497133,635.4985942,168.7775474,0,2056.643025,0,12991.1444,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC01,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-QC01,0.113916512,1.52E+07,92615.97104,40664.85349,1899764.24,,,
Glucose CL,C6H13O6Cl,media-hilic-10,0.827530818,4329024.306,0,0,0,0,413696.4541,2.08E+07
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-Blank03,0,0,0,0,0,0,0,
Alanine 15N,C3H7^15NO2,media-hilic-28,0,0,0,0,0,,,
Alanine,C3H7NO2,media-hilic-36,0.019959608,348197.6325,0,0,7091.430383,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-18,0.993475415,2037.526566,2696.377928,0,583060.1245,,,
Lactic acid C3,^13C3H6O3,media-hilic-11,0.049646748,1.44E+07,0,0,752119.7385,,,
Lactic acid C3,^13C3H6O3,media-hilic-02,0.019248505,1.45E+07,84201.76224,0,256662.5407,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-13,0.994642485,2509.14161,5832.887766,0,1185818.63,,,
L-Glutamic acid,C5H9NO4,media-hilic-30,0.737815875,3797189.575,0,12398.55638,0,0,1.07E+07,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-05,0,0,0,0,0,0,0,
Glucose CL,C6H13O6Cl,media-hilic-07,0.847902183,3782344.811,0,0,0,13955.41546,156661.921,2.11E+07
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-25,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-QC03,0.116922252,1.49E+07,124856.2486,37938.78063,1915567.06,,,
Alanine 15N,C3H7^15NO2,media-hilic-25,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-06,0,0,0,0,0,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-Blank01,0.994639881,1080.477975,2040.531193,0,452248.0468,,,
Alanine 15N,C3H7^15NO2,media-hilic-22,0,0,0,0,0,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-15,0.995211806,2336.188649,4020.546195,0,1041335.422,,,
L-Glutamine,C5H10N2O3,media-hilic-14,0.020661229,1.98E+07,1940803.773,155902.0935,1557.125779,34.80409123,188.360277,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-10,0,0,0,0,0,0,0,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-06,0,0,0,0,0,0,0,
L-Glutamine,C5H10N2O3,media-hilic-33,0.020454533,2.04E+07,1958465.175,168136.6184,1245.605223,58.60454327,128.9416231,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-14,0,0,0,0,0,0,0,
Lactic acid C3,^13C3H6O3,media-hilic-QC06,0.110360863,1.50E+07,0,0,1858595.454,,,
L-Glutamic acid,C5H9NO4,media-hilic-29,0.728133878,4218827.064,0,13493.51916,0,0,1.13E+07,
Alanine,C3H7NO2,media-hilic-18,0.068282109,306542.2241,0,499.7763821,22144.35428,,,
Alanine,C3H7NO2,media-hilic-QC03,0.018441335,598156.2402,0,0,11238.04394,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-Blank02,0.994481302,1021.227123,2301.95854,0,459805.3144,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-19,0,0,0,0,0,0,0,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-27,0.992543646,1590.798414,2172.203116,0,403799.9839,,,
L-Glutamine,C5H10N2O3,media-hilic-Blank02,0.094087489,32558.55646,234.3047054,8143.508654,336.0351667,305.8389218,178.2025667,
L-Glutamine,C5H10N2O3,media-hilic-03,0.017615404,2.04E+07,1656926.589,148363.937,1651.406021,4.234824229,174.8509637,
Lactic acid,C3H6O3,media-hilic-Blank02,0.287446271,147706.4893,212.8872122,0,59571.52286,,,
L-Glutamine,C5H10N2O3,media-hilic-25,0.016885813,2.04E+07,1563552.668,149854.5426,1562.448175,5.897030163,155.3012034,
Alanine 15N,C3H7^15NO2,media-hilic-15,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-07,0.016243717,1322815.996,0,0,859.4677248,89.12102428,0,21360.68606
L-Glutamic acid,C5H9NO4,media-hilic-16,0.728506117,4180565.177,0,50347.17467,0,0,1.13E+07,
Lactic acid,C3H6O3,media-hilic-QC04,0.106160606,1.60E+07,40502.53638,42962.06681,1863049.681,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-22,0,0,0,0,0,0,0,
Alanine,C3H7NO2,media-hilic-QC06,0.019264025,574468.0314,0,0,11283.94046,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-36,0.014127573,1144574.224,0,0,913.6731072,0,1329.621282,14846.64104
Alanine 15N,C3H7^15NO2,media-hilic-04,0,0,0,0,0,,,
Glucose CL,C6H13O6Cl,media-hilic-32,0.825458925,4435260.149,0,0,0,2033.985326,416567.4507,2.10E+07
Glucose d7 CL,C6H6D7O6Cl,media-hilic-06,0.01472807,1417021.301,0,0,1116.105715,151.9498269,0,20531.70429
Lactic acid,C3H6O3,media-hilic-16,0.272318877,1.53E+07,58454.27224,0,5730889.778,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-22,0.994797672,2364.910671,4086.668419,0,971832.7399,,,
Lactic acid,C3H6O3,media-hilic-15,0.101083008,1.54E+07,37055.56994,34747.57211,1695460.616,,,
Alanine,C3H7NO2,media-hilic-Blank02,0.394782981,7226.917244,702.889339,423.1345229,4595.397641,,,
Glucose CL,C6H13O6Cl,media-hilic-30,0.835033168,3970464.897,0,0,0,4818.368131,350886.0042,2.01E+07
Glucose d7 CL,C6H6D7O6Cl,media-hilic-Blank03,0.002651547,3819061.062,0,0,0,0,9310.135232,2399.021286
Alanine,C3H7NO2,media-hilic-QC08,0.019853477,530684.4941,0,0,10749.34401,,,
L-Glutamine,C5H10N2O3,media-hilic-29,0.019358855,2.02E+07,1819288.587,161248.0904,1263.494499,5.943037876,136.6947859,
L-Glutamic acid,C5H9NO4,media-hilic-QC08,0.706101197,4654016.568,0,16673.92903,0,0,1.12E+07,
Lactic acid C3,^13C3H6O3,media-hilic-03,0.014543115,1.52E+07,9602.036772,0,220954.2654,,,
L-Glutamine,C5H10N2O3,media-hilic-34,0.017153702,2.01E+07,1579499.762,144913.9582,1720.125331,172.5610882,152.8497442,
